"PEILDATUM_LEERLINGEN";"PRIKDATUM_ADVIEZEN";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20221001";"20230501";"00AP";"00";"WereldWijs";"2716PH";"ZOETERMEER";"637";"Zoetermeer";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0"
"20221001";"20230501";"00AR";"00";"BS ""De Maasparel""";"6107AW";"STEVENSWEERT";"1641";"Maasgouw";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"0";"0";"0";"0";"8";"<5";"<5";"<5";"6";"0"
"20221001";"20230501";"00AV";"00";"De Morgenster";"3201CN";"SPIJKENISSE";"1930";"Nissewaard";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0"
"20221001";"20230501";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0"
"20221001";"20230501";"00BB";"00";"Obs Letterwies";"9944AR";"NIEUWOLDA";"1895";"Oldambt";"Groningen";"Bo";"Openbaar";"41613";"0";"0";"<5";"<5";"0";"0";"0";"0";"<5";"0";"0";"0"
"20221001";"20230501";"00BS";"00";"Geref Basisschool";"7711KP";"NIEUWLEUSEN";"148";"Dalfsen";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"6";"<5";"0"
"20221001";"20230501";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"1883";"Sittard-Geleen";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0"
"20221001";"20230501";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"193";"Zwolle";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"6";"6";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0"
"20221001";"20230501";"00CD";"00";"Basisschool De Lockaert";"5345JG";"OSS";"828";"Oss";"Noord-Brabant";"Bo";"Algemeen bijzonder";"41228";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"6";"0"
"20221001";"20230501";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"882";"Landgraaf";"Limburg";"Bo";"Openbaar";"41516";"0";"0";"<5";"0";"11";"<5";"13";"8";"5";"5";"10";"0"
"20221001";"20230501";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"1895";"Oldambt";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"00CU";"00";"Basisschool Zilverlinde";"4707HS";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0"
"20221001";"20230501";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"98";"Weststellingwerf";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0"
"20221001";"20230501";"00DA";"00";"Chr BS Betrouwen";"9243SJ";"BAKKEVEEN";"86";"Opsterland";"Friesland";"Bo";"Protestants-Christelijk";"84332";"0";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"00DD";"00";"Basissch Het Startnest";"1422LE";"UITHOORN";"451";"Uithoorn";"Noord-Holland";"Bo";"Rooms-Katholiek";"40581";"0";"0";"<5";"<5";"<5";"<5";"<5";"7";"<5";"<5";"<5";"0"
"20221001";"20230501";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"1721";"Bernheze";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0"
"20221001";"20230501";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"938";"Meerssen";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"<5";"0";"<5";"5";"<5";"<5";"5";"<5";"10";"0"
"20221001";"20230501";"00DO";"00";"INOVA";"3151CJ";"HOEK VAN HOLLAND";"599";"Rotterdam";"Zuid-Holland";"Bo";"Openbaar";"41775";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0"
"20221001";"20230501";"00DW";"00";"De Trompetter";"6986AT";"ANGERLO";"299";"Zevenaar";"Gelderland";"Bo";"Rooms-Katholiek";"77235";"0";"0";"0";"<5";"0";"<5";"<5";"6";"<5";"6";"8";"0"
"20221001";"20230501";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"106";"Assen";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"6";"<5";"5";"0"
"20221001";"20230501";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"230";"Elburg";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"7";"<5";"<5";"<5";"6";"0";"<5";"0"
"20221001";"20230501";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"230";"Elburg";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"<5";"0";"0";"0";"<5";"<5";"6";"<5";"11";"0"
"20221001";"20230501";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"1982";"Land van Cuijk";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"6";"<5";"5";"0"
"20221001";"20230501";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"502";"Capelle aan den IJssel";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"<5";"0";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00EI";"00";"Reform Basisschool";"3286BC";"KLAASWAAL";"1963";"Hoeksche Waard";"Zuid-Holland";"Bo";"Reformatorisch";"30133";"0";"0";"6";"0";"5";"0";"7";"0";"5";"<5";"<5";"0"
"20221001";"20230501";"00EM";"00";"SSBO De Wijngaard";"2992KK";"BARENDRECHT";"489";"Barendrecht";"Zuid-Holland";"Sbo";"Reformatorisch";"42790";"<5";"7";"14";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"1959";"Altena";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0"
"20221001";"20230501";"00FG";"00";"BS De Reflector";"7557KJ";"HENGELO OV";"164";"Hengelo";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41624";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"0"
"20221001";"20230501";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"1950";"Westerwolde";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"0";"0";"<5";"<5";"<5";"5";"<5";"6";"<5";"<5";"0"
"20221001";"20230501";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"716";"Tholen";"Zeeland";"Bo";"Algemeen bijzonder";"30124";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0"
"20221001";"20230501";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"246";"Heerde";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"8";"0";"7";"0"
"20221001";"20230501";"00GV";"00";"Basisschool Maria-School";"7661RA";"VASSE";"183";"Tubbergen";"Overijssel";"Bo";"Rooms-Katholiek";"50949";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
"20221001";"20230501";"00GX";"00";"RK BS St Jacobus";"6675BB";"VALBURG";"1734";"Overbetuwe";"Gelderland";"Bo";"Rooms-Katholiek";"41530";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0"
"20221001";"20230501";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"233";"Ermelo";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"0";"<5";"0";"6";"<5";"7";"0";"11";"<5";"9";"0"
"20221001";"20230501";"00HH";"00";"OBS De Vliete";"4491GB";"WISSENKERKE";"1695";"Noord-Beveland";"Zeeland";"Bo";"Openbaar";"41582";"<5";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0"
"20221001";"20230501";"00HZ";"00";"Klavertje 4";"3421XL";"OUDEWATER";"589";"Oudewater";"Utrecht";"Bo";"Algemeen bijzonder";"20252";"0";"0";"0";"0";"0";"<5";"6";"<5";"5";"<5";"<5";"0"
"20221001";"20230501";"00IF";"00";"RK BS Heilig Hart";"7666LH";"FLERINGEN";"183";"Tubbergen";"Overijssel";"Bo";"Rooms-Katholiek";"50949";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0"
"20221001";"20230501";"00IH";"00";"De Horizon";"6835HZ";"ARNHEM";"202";"Arnhem";"Gelderland";"Sbo";"Rooms-Katholiek";"40812";"0";"6";"10";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00IJ";"00";"PC BS De Schaapskooi";"7443HC";"NIJVERDAL";"163";"Hellendoorn";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"5";"<5";"<5";"<5";"5";"<5";"<5";"<5";"<5";"0"
"20221001";"20230501";"00IM";"00";"Joos v Larensch";"4341ER";"ARNEMUIDEN";"687";"Middelburg";"Zeeland";"Bo";"Reformatorisch";"30145";"0";"0";"<5";"0";"6";"0";"6";"0";"0";"6";"0";"0"
"20221001";"20230501";"00JH";"00";"SSBO De Kameleon";"7901GK";"HOOGEVEEN";"118";"Hoogeveen";"Drenthe";"Sbo";"Algemeen bijzonder";"41414";"<5";"<5";"5";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"400";"Den Helder";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"<5";"19";"7";"6";"6";"0";"<5";"0";"<5";"<5";"0";"0"
"20221001";"20230501";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"268";"Nijmegen";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"<5";"9";"21";"0";"7";"<5";"<5";"0";"0";"0";"0";"0"
"20221001";"20230501";"00KZ";"00";"SSBO Het Zilverlicht";"5143GH";"WAALWIJK";"867";"Waalwijk";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"<5";"13";"10";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00LS";"00";"SBO Het Palet";"6006AH";"WEERT";"988";"Weert";"Limburg";"Sbo";"Rooms-Katholiek";"50819";"<5";"13";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"1728";"Bladel";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"5";"11";"5";"7";"<5";"<5";"<5";"<5";"0";"0";"0";"0"
"20221001";"20230501";"00MN";"00";"Chr SSBO De Burcht";"2983AK";"RIDDERKERK";"597";"Ridderkerk";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"80433";"<5";"18";"6";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00MS";"00";"SBO De Oase";"7772CX";"HARDENBERG";"160";"Hardenberg";"Overijssel";"Sbo";"Protestants-Christelijk";"40946";"5";"10";"5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0"
"20221001";"20230501";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"715";"Terneuzen";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"<5";"6";"6";"0";"5";"0";"<5";"<5";"<5";"0";"0";"<5"
"20221001";"20230501";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"716";"Tholen";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"<5";"0"
"20221001";"20230501";"00RX";"00";"SBO Arcadia";"6466HX";"KERKRADE";"928";"Kerkrade";"Limburg";"Sbo";"Rooms-Katholiek";"41516";"<5";"12";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0"
"20221001";"20230501";"00SQ";"00";"SSBO Focus";"5801AP";"VENRAY";"984";"Venray";"Limburg";"Sbo";"Rooms-Katholiek";"44397";"<5";"13";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00TN";"00";"SSBO Op de Tump";"6097AH";"HEEL";"1641";"Maasgouw";"Limburg";"Sbo";"Algemeen bijzonder";"23961";"<5";"16";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"642";"Zwijndrecht";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"9";"11";"14";"0";"<5";"0";"0";"<5";"0";"0";"0";"0"
"20221001";"20230501";"00UI";"00";"SSBO St Michael";"3814RV";"AMERSFOORT";"307";"Amersfoort";"Utrecht";"Sbo";"Rooms-Katholiek";"71488";"0";"13";"11";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0"
"20221001";"20230501";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"479";"Zaanstad";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"18";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"<5"
"20221001";"20230501";"00UY";"00";"SBO Beatrix de Burcht";"4205NK";"GORINCHEM";"512";"Gorinchem";"Zuid-Holland";"Sbo";"Protestants-Christelijk";"41396";"<5";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20221001";"20230501";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"777";"Etten-Leur";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"<5";"11";"13";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0"
