"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20241001";"20250904";"00AP";"00";"WereldWijs";"2716PH";"ZOETERMEER";"0637";"Zoetermeer";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0"
"20241001";"20250904";"00AR";"00";"BS ""De Maasparel""";"6107AW";"STEVENSWEERT";"1641";"Maasgouw";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"0";"0";"<5";"0";"10";"0";"<5";"0";"<5";"0"
"20241001";"20250904";"00AV";"00";"De Morgenster";"3201CN";"SPIJKENISSE";"1930";"Nissewaard";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"0";"<5";"0"
"20241001";"20250904";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"00BB";"00";"Obs Letterwies";"9944AR";"NIEUWOLDA";"1895";"Oldambt";"Groningen";"Bo";"Openbaar";"41613";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"<5";"0"
"20241001";"20250904";"00BS";"00";"Geref Basisschool";"7711KP";"NIEUWLEUSEN";"0148";"Dalfsen";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0"
"20241001";"20250904";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"1883";"Sittard-Geleen";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"0";"0";"<5";"0";"<5";"0";"6";"0";"<5";"0";"0"
"20241001";"20250904";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"0193";"Zwolle";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"6";"0";"<5";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"20250904";"00CD";"00";"Basisschool De Lockaert";"5345JG";"OSS";"0828";"Oss";"Noord-Brabant";"Bo";"Algemeen bijzonder";"41228";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"5";"<5";"10";"0"
"20241001";"20250904";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"0882";"Landgraaf";"Limburg";"Bo";"Openbaar";"41516";"0";"0";"<5";"<5";"9";"<5";"6";"5";"8";"5";"10";"0"
"20241001";"20250904";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"1895";"Oldambt";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"<5";"0"
"20241001";"20250904";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0"
"20241001";"20250904";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"0098";"Weststellingwerf";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0"
"20241001";"20250904";"00DD";"00";"Basissch Het Startnest";"1422LE";"UITHOORN";"0451";"Uithoorn";"Noord-Holland";"Bo";"Rooms-Katholiek";"40581";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"1721";"Bernheze";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"0938";"Meerssen";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"00DO";"00";"INOVA";"3151CJ";"HOEK VAN HOLLAND";"0599";"Rotterdam";"Zuid-Holland";"Bo";"Openbaar";"41775";"0";"0";"0";"5";"<5";"5";"<5";"<5";"<5";"<5";"0";"0"
"20241001";"20250904";"00DW";"00";"De Trompetter";"6986AT";"ANGERLO";"0299";"Zevenaar";"Gelderland";"Bo";"Rooms-Katholiek";"77235";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"6";"8";"5";"0"
"20241001";"20250904";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"0106";"Assen";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"5";"5";"0"
"20241001";"20250904";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"0230";"Elburg";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"<5";"0";"<5";"5";"<5";"<5";"0";"<5";"0"
"20241001";"20250904";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"0230";"Elburg";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"<5";"0";"0";"<5";"<5";"5";"<5";"6";"9";"0"
"20241001";"20250904";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"1982";"Land van Cuijk";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"<5";"0";"<5";"<5";"6";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"0502";"Capelle aan den IJssel";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"20250904";"00EI";"00";"Reform Basisschool";"3286BC";"KLAASWAAL";"1963";"Hoeksche Waard";"Zuid-Holland";"Bo";"Reformatorisch";"30133";"0";"0";"0";"0";"<5";"0";"9";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"00EM";"00";"SSBO De Wijngaard";"2992KK";"BARENDRECHT";"0489";"Barendrecht";"Zuid-Holland";"Sbo";"Reformatorisch";"42790";"0";"8";"7";"0";"5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"20250904";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"1959";"Altena";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"0";"0";"<5";"0";"6";"<5";"<5";"0"
"20241001";"20250904";"00FG";"00";"BS De Reflector";"7557KJ";"HENGELO OV";"0164";"Hengelo";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41624";"0";"0";"0";"5";"0";"<5";"<5";"<5";"0";"<5";"<5";"0"
"20241001";"20250904";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"1950";"Westerwolde";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"0";"<5";"<5";"<5";"<5";"5";"<5";"<5";"0";"<5";"0"
"20241001";"20250904";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"0716";"Tholen";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"<5";"0"
"20241001";"20250904";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"0484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0"
"20241001";"20250904";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"0246";"Heerde";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"00GV";"00";"Basisschool Maria-School";"7661RA";"VASSE";"0183";"Tubbergen";"Overijssel";"Bo";"Rooms-Katholiek";"50949";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"00GX";"00";"RK BS St Jacobus";"6675BB";"VALBURG";"1734";"Overbetuwe";"Gelderland";"Bo";"Rooms-Katholiek";"41530";"0";"0";"<5";"0";"0";"0";"5";"0";"<5";"<5";"<5";"0"
