"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"ONTHEFFING_REDEN_ND";"IEP_AANTAL";"IEP_GEM";"ROUTE8_AANTAL";"ROUTE8_GEM";"DIA_AANTAL";"DIA_GEM";"AMN_AANTAL";"AMN_GEM";"DOE_AANTAL";"DOE_GEM";"LIB_AANTAL";"LIB_GEM"
"20231001";"20240904";"00AP";"00";"WereldWijs";"2716PH";"ZOETERMEER";"637";"Zoetermeer";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"<5";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"13";"173,692307692308"
"20231001";"20240904";"00AR";"00";"BS ""De Maasparel""";"6107AW";"STEVENSWEERT";"1641";"Maasgouw";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"9";"173,111111111111"
"20231001";"20240904";"00AV";"00";"De Morgenster";"3201CN";"SPIJKENISSE";"1930";"Nissewaard";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"5";"74,4000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"12";"79,5000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00BB";"00";"Obs Letterwies";"9944AR";"NIEUWOLDA";"1895";"Oldambt";"Groningen";"Bo";"Openbaar";"41613";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"11";"175,000000000000"
"20231001";"20240904";"00BS";"00";"Geref Basisschool";"7711KP";"NIEUWLEUSEN";"148";"Dalfsen";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"17";"176,000000000000"
"20231001";"20240904";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"1883";"Sittard-Geleen";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"13";"78,9230769230769";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"193";"Zwolle";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"<5";"0";"0,0000000000000";"11";"137,727272727273";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00CD";"00";"Basisschool De Lockaert";"5345JG";"OSS";"828";"Oss";"Noord-Brabant";"Bo";"Algemeen bijzonder";"41228";"0";"0";"0,0000000000000";"24";"187,541666666667";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"882";"Landgraaf";"Limburg";"Bo";"Openbaar";"41516";"<5";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"53";"179,000000000000"
"20231001";"20240904";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"1895";"Oldambt";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0,0000000000000";"0";"0,000000000000";"7";"362,571428571429";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00CU";"00";"Basisschool Zilverlinde";"4707HS";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"11";"79,1818181818182";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"98";"Weststellingwerf";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"5";"78,4000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00DD";"00";"Basissch Het Startnest";"1422LE";"UITHOORN";"451";"Uithoorn";"Noord-Holland";"Bo";"Rooms-Katholiek";"40581";"0";"0";"0,0000000000000";"30";"188,633333333333";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"1721";"Bernheze";"Noord-Brabant";"Bo";"Openbaar";"75388";"<5";"23";"77,9565217391304";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"938";"Meerssen";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0,0000000000000";"27";"196,074074074074";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00DO";"00";"INOVA";"3151CJ";"HOEK VAN HOLLAND";"599";"Rotterdam";"Zuid-Holland";"Bo";"Openbaar";"41775";"0";"12";"77,6666666666667";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00DW";"00";"De Trompetter";"6986AT";"ANGERLO";"299";"Zevenaar";"Gelderland";"Bo";"Rooms-Katholiek";"77235";"0";"13";"80,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"106";"Assen";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"14";"77,2857142857143";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"230";"Elburg";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"10";"167,300000000000"
"20231001";"20240904";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"230";"Elburg";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"<5";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"23";"178,130434782609"
"20231001";"20240904";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"1982";"Land van Cuijk";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"20";"178,400000000000"
"20231001";"20240904";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"502";"Capelle aan den IJssel";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0,0000000000000";"14";"134,928571428571";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00EI";"00";"Reform Basisschool";"3286BC";"KLAASWAAL";"1963";"Hoeksche Waard";"Zuid-Holland";"Bo";"Reformatorisch";"30133";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"20";"174,750000000000"
"20231001";"20240904";"00EM";"00";"SSBO De Wijngaard";"2992KK";"BARENDRECHT";"489";"Barendrecht";"Zuid-Holland";"Sbo";"Reformatorisch";"42790";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"23";"355,869565217391";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"1959";"Altena";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"9";"176,444444444444"
"20231001";"20240904";"00FG";"00";"BS De Reflector";"7557KJ";"HENGELO OV";"164";"Hengelo";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41624";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"11";"174,909090909091"
"20231001";"20240904";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"1950";"Westerwolde";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"31";"75,6451612903226";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"716";"Tholen";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"<5";"9";"72,3333333333333";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"19";"175,894736842105"
"20231001";"20240904";"00GR";"00";"Kristal";"8181VZ";"HEERDE";"246";"Heerde";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"16";"169,187500000000"
"20231001";"20240904";"00GV";"00";"Basisschool Maria-School";"7661RA";"VASSE";"183";"Tubbergen";"Overijssel";"Bo";"Rooms-Katholiek";"50949";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"21";"175,619047619048"
"20231001";"20240904";"00GX";"00";"RK BS St Jacobus";"6675BB";"VALBURG";"1734";"Overbetuwe";"Gelderland";"Bo";"Rooms-Katholiek";"41530";"0";"12";"84,3333333333333";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"233";"Ermelo";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"0";"0,0000000000000";"38";"195,578947368421";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00HH";"00";"OBS De Vliete";"4491GB";"WISSENKERKE";"1695";"Noord-Beveland";"Zeeland";"Bo";"Openbaar";"41582";"<5";"14";"84,2857142857143";"<5";NA;"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00HZ";"00";"Klavertje 4";"3421XL";"OUDEWATER";"589";"Oudewater";"Utrecht";"Bo";"Algemeen bijzonder";"20252";"0";"22";"84,0454545454545";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00IF";"00";"RK BS Heilig Hart";"7666LH";"FLERINGEN";"183";"Tubbergen";"Overijssel";"Bo";"Rooms-Katholiek";"50949";"0";"12";"79,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00IH";"00";"De Horizon";"6835HZ";"ARNHEM";"202";"Arnhem";"Gelderland";"Sbo";"Rooms-Katholiek";"40812";"<5";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"25";"330,320000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00IJ";"00";"PC BS De Schaapskooi";"7443HC";"NIJVERDAL";"163";"Hellendoorn";"Overijssel";"Bo";"Protestants-Christelijk";"85600";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"23";"174,565217391304"
"20231001";"20240904";"00IM";"00";"Joos v Larensch";"4341ER";"ARNEMUIDEN";"687";"Middelburg";"Zeeland";"Bo";"Reformatorisch";"30145";"0";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"18";"174,500000000000"
"20231001";"20240904";"00JH";"00";"SSBO De Kameleon";"7901GK";"HOOGEVEEN";"118";"Hoogeveen";"Drenthe";"Sbo";"Algemeen bijzonder";"41414";"<5";"0";"0,0000000000000";"7";"111,714285714286";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"400";"Den Helder";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"15";"0";"0,0000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"21";"160,904761904762"
"20231001";"20240904";"00KU";"00";"SBO de Windroos";"6545LX";"NIJMEGEN";"268";"Nijmegen";"Gelderland";"Sbo";"Protestants-Christelijk";"29810";"<5";"0";"0,0000000000000";"37";"144,351351351351";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
"20231001";"20240904";"00KZ";"00";"SSBO Het Zilverlicht";"5143GH";"WAALWIJK";"867";"Waalwijk";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"18";"0";"0,0000000000000";"0";"0,000000000000";"13";"333,692307692308";"0";"0,000000000000";"0";"0,000000000000";"0";"0,000000000000"
