"PEILDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"REKENEN_LAGER1F";"REKENEN_1F";"REKENEN_1S";"REKENEN_2F";"LV_LAGER1F";"LV_1F";"LV_2F";"TV_LAGER1F";"TV_1F";"TV_2F"
"20231001";"00AP";"00";"WereldWijs";"2716PH";"ZOETERMEER";"637";"Zoetermeer";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"<5";"6";"5";"0";"0";"<5";"10";"<5";"7";"5"
"20231001";"00AR";"00";"BS ""De Maasparel""";"6107AW";"STEVENSWEERT";"1641";"Maasgouw";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"5";"<5";"0";"0";"<5";"8";"0";"5";"<5"
"20231001";"00AV";"00";"De Morgenster";"3201CN";"SPIJKENISSE";"1930";"Nissewaard";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"<5";"<5"
"20231001";"00AZ";"00";"De Stapsteen";"2971AR";"BLESKENSGRAAF CA";"1978";"Molenlanden";"Zuid-Holland";"Bo";"Openbaar";"41638";"0";"7";"5";"0";"0";"<5";"9";"0";"5";"7"
"20231001";"00BB";"00";"Obs Letterwies";"9944AR";"NIEUWOLDA";"1895";"Oldambt";"Groningen";"Bo";"Openbaar";"41613";"<5";"<5";"6";"0";"0";"<5";"8";"<5";"<5";"7"
"20231001";"00BS";"00";"Geref Basisschool";"7711KP";"NIEUWLEUSEN";"148";"Dalfsen";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"<5";"5";"11";"0";"0";"<5";"14";"<5";"10";"6"
"20231001";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"1883";"Sittard-Geleen";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"9";"<5";"0";"0";"<5";"12";"0";"6";"7"
"20231001";"00CD";"00";"Basisschool De Lockaert";"5345JG";"OSS";"828";"Oss";"Noord-Brabant";"Bo";"Algemeen bijzonder";"41228";"5";"14";"5";"0";"0";"10";"14";"<5";"20";"<5"
"20231001";"00CG";"00";"De Harlekijn";"6372AC";"LANDGRAAF";"882";"Landgraaf";"Limburg";"Bo";"Openbaar";"41516";"<5";"9";"43";"0";"0";"9";"44";"<5";"21";"31"
"20231001";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"1895";"Oldambt";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"<5";"<5";"<5";"0";"0";"0";"7";"0";"<5";"6"
"20231001";"00CU";"00";"Basisschool Zilverlinde";"4707HS";"ROOSENDAAL";"1674";"Roosendaal";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"9";"<5";"0";"0";"<5";"8";"0";"5";"6"
"20231001";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"98";"Weststellingwerf";"Friesland";"Bo";"Algemeen bijzonder";"20210";"<5";"<5";"<5";"0";"0";"0";"5";"0";"<5";"<5"
"20231001";"00DD";"00";"Basissch Het Startnest";"1422LE";"UITHOORN";"451";"Uithoorn";"Noord-Holland";"Bo";"Rooms-Katholiek";"40581";"<5";"15";"11";"0";"<5";"9";"20";"<5";"19";"7"
"20231001";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"1721";"Bernheze";"Noord-Brabant";"Bo";"Openbaar";"75388";"5";"6";"12";"0";"0";"8";"15";"0";"11";"12"
"20231001";"00DN";"00";"De Bundeling";"6241BB";"BUNDE";"938";"Meerssen";"Limburg";"Bo";"Openbaar";"42669";"5";"14";"8";"0";"0";"7";"20";"<5";"21";"5"
"20231001";"00DO";"00";"INOVA";"3151CJ";"HOEK VAN HOLLAND";"599";"Rotterdam";"Zuid-Holland";"Bo";"Openbaar";"41775";"<5";"7";"<5";"0";"0";"<5";"9";"<5";"5";"6"
"20231001";"00DW";"00";"De Trompetter";"6986AT";"ANGERLO";"299";"Zevenaar";"Gelderland";"Bo";"Rooms-Katholiek";"77235";"<5";"<5";"9";"0";"0";"<5";"10";"0";"<5";"9"
"20231001";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"106";"Assen";"Drenthe";"Bo";"Antroposofisch";"77456";"<5";"8";"<5";"0";"0";"<5";"11";"<5";"5";"6"
"20231001";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"230";"Elburg";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"<5";"8";"0";"0";"<5";"<5";"6";"<5";"<5";"5"
"20231001";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"230";"Elburg";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"10";"13";"0";"0";"<5";"22";"0";"8";"15"
"20231001";"00EB";"00";"Bs Het Telraam";"5441AK";"OEFFELT";"1982";"Land van Cuijk";"Noord-Brabant";"Bo";"Rooms-Katholiek";"48348";"<5";"6";"13";"0";"0";"<5";"17";"0";"6";"14"
"20231001";"00EI";"00";"Reform Basisschool";"3286BC";"KLAASWAAL";"1963";"Hoeksche Waard";"Zuid-Holland";"Bo";"Reformatorisch";"30133";"<5";"8";"9";"0";"0";"<5";"16";"<5";"10";"9"
"20231001";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"1959";"Altena";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"5";"0";"0";"<5";"8";"0";"5";"<5"
"20231001";"00FG";"00";"BS De Reflector";"7557KJ";"HENGELO OV";"164";"Hengelo";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41624";"<5";"<5";"6";"0";"0";"<5";"8";"0";"<5";"7"
"20231001";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"1950";"Westerwolde";"Groningen";"Bo";"Algemeen bijzonder";"45000";"<5";"17";"11";"0";"<5";"10";"18";"<5";"14";"15"
"20231001";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"716";"Tholen";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"<5";"<5";"<5";"0";"0";"<5";"6";"0";"9";"0"
